timestamp,sensor_type,sensor_id,value
2025-09-30 00:00:00,temperature,temp_1,20.12
2025-09-30 00:00:00,temperature,temp_2,20.35
2025-09-30 00:00:00,temperature,temp_3,20.1
2025-09-30 00:00:00,luminosity,light_1,9.1
2025-09-30 00:00:00,luminosity,light_2,23.2
2025-09-30 00:00:00,luminosity,light_3,0.0
2025-09-30 00:00:00,occupancy,occ_1,0.0
2025-09-30 00:00:00,occupancy,occ_2,0.0
2025-09-30 00:00:00,occupancy,occ_3,0.0
2025-09-30 00:00:00,occupancy,occ_4,0.0
2025-09-30 00:00:00,occupancy,occ_5,1.0
2025-09-30 00:15:00,temperature,temp_1,20.28
2025-09-30 00:15:00,temperature,temp_2,21.14
2025-09-30 00:15:00,temperature,temp_3,19.82
2025-09-30 00:15:00,luminosity,light_1,28.7
2025-09-30 00:15:00,luminosity,light_2,0.0
2025-09-30 00:15:00,luminosity,light_3,18.3
2025-09-30 00:15:00,occupancy,occ_1,0.0
2025-09-30 00:15:00,occupancy,occ_2,0.0
2025-09-30 00:15:00,occupancy,occ_3,0.0
2025-09-30 00:15:00,occupancy,occ_4,0.0
2025-09-30 00:15:00,occupancy,occ_5,0.0
2025-09-30 00:30:00,temperature,temp_1,19.91
2025-09-30 00:30:00,temperature,temp_2,19.75
2025-09-30 00:30:00,temperature,temp_3,20.82
2025-09-30 00:30:00,luminosity,light_1,0.0
2025-09-30 00:30:00,luminosity,light_2,13.4
2025-09-30 00:30:00,luminosity,light_3,1.0
2025-09-30 00:30:00,occupancy,occ_1,0.0
2025-09-30 00:30:00,occupancy,occ_2,0.0
2025-09-30 00:30:00,occupancy,occ_3,0.0
2025-09-30 00:30:00,occupancy,occ_4,0.0
2025-09-30 00:30:00,occupancy,occ_5,0.0
2025-09-30 00:45:00,temperature,temp_1,20.38
2025-09-30 00:45:00,temperature,temp_2,20.3
2025-09-30 00:45:00,temperature,temp_3,19.89
2025-09-30 00:45:00,luminosity,light_1,0.0
2025-09-30 00:45:00,luminosity,light_2,9.7
2025-09-30 00:45:00,luminosity,light_3,4.7
2025-09-30 00:45:00,occupancy,occ_1,0.0
2025-09-30 00:45:00,occupancy,occ_2,0.0
2025-09-30 00:45:00,occupancy,occ_3,0.0
2025-09-30 00:45:00,occupancy,occ_4,0.0
2025-09-30 00:45:00,occupancy,occ_5,0.0
2025-09-30 01:00:00,temperature,temp_1,20.49
2025-09-30 01:00:00,temperature,temp_2,20.01
2025-09-30 01:00:00,temperature,temp_3,19.95
2025-09-30 01:00:00,luminosity,light_1,0.0
2025-09-30 01:00:00,luminosity,light_2,0.0
2025-09-30 01:00:00,luminosity,light_3,0.0
2025-09-30 01:00:00,occupancy,occ_1,0.0
2025-09-30 01:00:00,occupancy,occ_2,0.0
2025-09-30 01:00:00,occupancy,occ_3,0.0
2025-09-30 01:00:00,occupancy,occ_4,0.0
2025-09-30 01:00:00,occupancy,occ_5,0.0
2025-09-30 01:15:00,temperature,temp_1,19.8
2025-09-30 01:15:00,temperature,temp_2,19.92
2025-09-30 01:15:00,temperature,temp_3,20.43
2025-09-30 01:15:00,luminosity,light_1,0.0
2025-09-30 01:15:00,luminosity,light_2,48.3
2025-09-30 01:15:00,luminosity,light_3,0.0
2025-09-30 01:15:00,occupancy,occ_1,0.0
2025-09-30 01:15:00,occupancy,occ_2,0.0
2025-09-30 01:15:00,occupancy,occ_3,0.0
2025-09-30 01:15:00,occupancy,occ_4,0.0
2025-09-30 01:15:00,occupancy,occ_5,0.0
2025-09-30 01:30:00,temperature,temp_1,19.87
2025-09-30 01:30:00,temperature,temp_2,20.26
2025-09-30 01:30:00,temperature,temp_3,20.18
2025-09-30 01:30:00,luminosity,light_1,0.0
2025-09-30 01:30:00,luminosity,light_2,35.3
2025-09-30 01:30:00,luminosity,light_3,0.0
2025-09-30 01:30:00,occupancy,occ_1,0.0
2025-09-30 01:30:00,occupancy,occ_2,0.0
2025-09-30 01:30:00,occupancy,occ_3,1.0
2025-09-30 01:30:00,occupancy,occ_4,0.0
2025-09-30 01:30:00,occupancy,occ_5,0.0
2025-09-30 01:45:00,temperature,temp_1,20.2
2025-09-30 01:45:00,temperature,temp_2,20.26
2025-09-30 01:45:00,temperature,temp_3,20.23
2025-09-30 01:45:00,luminosity,light_1,19.6
2025-09-30 01:45:00,luminosity,light_2,0.0
2025-09-30 01:45:00,luminosity,light_3,51.0
2025-09-30 01:45:00,occupancy,occ_1,0.0
2025-09-30 01:45:00,occupancy,occ_2,0.0
2025-09-30 01:45:00,occupancy,occ_3,0.0
2025-09-30 01:45:00,occupancy,occ_4,0.0
2025-09-30 01:45:00,occupancy,occ_5,0.0
2025-09-30 02:00:00,temperature,temp_1,20.23
